v2	V(vout)	I(R4)
Step Information: Illu_set=100  (Run: 1/10)
3.900000000000000e+000	3.900000e+000	2.384903e-002
4.000000000000000e+000	4.000000e+000	2.342840e-002
4.100000000000000e+000	4.100000e+000	2.279303e-002
4.200000000000000e+000	4.200000e+000	2.183293e-002
4.300000000000000e+000	4.300000e+000	2.038587e-002
4.400000000000000e+000	4.400000e+000	1.821765e-002
4.500000000000000e+000	4.500000e+000	1.500063e-002
4.600000000000000e+000	4.600000e+000	1.029697e-002
4.625000000000000e+000	4.625000e+000	8.826663e-003
4.650000000000000e+000	4.650000e+000	7.220054e-003
4.675000000000000e+000	4.675000e+000	5.467325e-003
4.700000000000000e+000	4.700000e+000	3.558450e-003
4.725000000000000e+000	4.725000e+000	1.483266e-003
4.750000000000000e+000	4.750000e+000	1.000000e-004
4.775000000000000e+000	4.775000e+000	1.000000e-004
4.800000000000000e+000	4.800000e+000	1.000000e-004
4.825000000000000e+000	4.825000e+000	1.000000e-004
4.850000000000000e+000	4.850000e+000	1.000000e-004
4.875000000000000e+000	4.875000e+000	1.000000e-004
4.900000000000000e+000	4.900000e+000	1.000000e-004
4.925000000000000e+000	4.925000e+000	1.000000e-004
4.950000000000000e+000	4.950000e+000	1.000000e-004
4.975000000000000e+000	4.975000e+000	1.000000e-004
5.000000000000000e+000	5.000000e+000	1.000000e-004
Step Information: Illu_set=700  (Run: 7/10)
1.000000000000000e-001	1.000000e-001	2.931083e-002
2.000000000000000e-001	2.000000e-001	2.929744e-002
3.000000000000000e-001	3.000000e-001	2.928404e-002
4.000000000000000e-001	4.000000e-001	2.927065e-002
5.000000000000000e-001	5.000000e-001	2.925725e-002
6.000000000000000e-001	6.000000e-001	2.924386e-002
7.000000000000000e-001	7.000000e-001	2.923046e-002
8.000000000000000e-001	8.000000e-001	2.921707e-002
9.000000000000000e-001	9.000000e-001	2.920367e-002
1.000000000000000e+000	1.000000e+000	2.919027e-002
1.100000000000000e+000	1.100000e+000	2.917688e-002
1.200000000000000e+000	1.200000e+000	2.916348e-002
1.300000000000000e+000	1.300000e+000	2.915008e-002
1.400000000000000e+000	1.400000e+000	2.913668e-002
1.500000000000000e+000	1.500000e+000	2.912327e-002
1.600000000000000e+000	1.600000e+000	2.910987e-002
1.700000000000000e+000	1.700000e+000	2.909645e-002
1.800000000000000e+000	1.800000e+000	2.908302e-002
1.900000000000000e+000	1.900000e+000	2.906957e-002
2.000000000000000e+000	2.000000e+000	2.905610e-002
2.100000000000000e+000	2.100000e+000	2.904258e-002
2.200000000000000e+000	2.200000e+000	2.902901e-002
2.300000000000000e+000	2.300000e+000	2.901533e-002
2.400000000000000e+000	2.400000e+000	2.900150e-002
2.500000000000000e+000	2.500000e+000	2.898743e-002
2.600000000000000e+000	2.600000e+000	2.897301e-002
2.700000000000000e+000	2.700000e+000	2.895803e-002
2.800000000000000e+000	2.800000e+000	2.894221e-002
2.900000000000000e+000	2.900000e+000	2.892508e-002
3.000000000000000e+000	3.000000e+000	2.890594e-002
3.100000000000000e+000	3.100000e+000	2.888372e-002
3.200000000000000e+000	3.200000e+000	2.885675e-002
3.300000000000000e+000	3.300000e+000	2.882250e-002
3.400000000000000e+000	3.400000e+000	2.877706e-002
3.500000000000000e+000	3.500000e+000	2.871442e-002
3.600000000000000e+000	3.600000e+000	2.862538e-002
3.700000000000000e+000	3.700000e+000	2.849585e-002
3.800000000000000e+000	3.800000e+000	2.830424e-002
3.900000000000000e+000	3.900000e+000	2.801768e-002
4.000000000000000e+000	4.000000e+000	2.758617e-002
4.100000000000000e+000	4.100000e+000	2.693432e-002
4.200000000000000e+000	4.200000e+000	2.594937e-002
4.300000000000000e+000	4.300000e+000	2.446525e-002
4.400000000000000e+000	4.400000e+000	2.224259e-002
4.500000000000000e+000	4.500000e+000	1.894731e-002
4.600000000000000e+000	4.600000e+000	1.413445e-002
4.625000000000000e+000	4.625000e+000	1.263124e-002
4.650000000000000e+000	4.650000e+000	1.098931e-002
4.675000000000000e+000	4.675000e+000	9.198794e-003
4.700000000000000e+000	4.700000e+000	7.249617e-003
4.725000000000000e+000	4.725000e+000	5.131600e-003
4.750000000000000e+000	4.750000e+000	2.834541e-003
4.775000000000000e+000	4.775000e+000	3.483151e-004
4.800000000000000e+000	4.800000e+000	1.000000e-004
4.825000000000000e+000	4.825000e+000	1.000000e-004
4.850000000000000e+000	4.850000e+000	1.000000e-004
4.875000000000000e+000	4.875000e+000	1.000000e-004
4.900000000000000e+000	4.900000e+000	1.000000e-004
4.925000000000000e+000	4.925000e+000	1.000000e-004
4.950000000000000e+000	4.950000e+000	1.000000e-004
4.975000000000000e+000	4.975000e+000	1.000000e-004
5.000000000000000e+000	5.000000e+000	1.000000e-004
Step Information: Illu_set=800  (Run: 8/10)
1.000000000000000e-001	1.000000e-001	3.350001e-002
2.000000000000000e-001	2.000000e-001	3.348661e-002
3.000000000000000e-001	3.000000e-001	3.347322e-002
4.000000000000000e-001	4.000000e-001	3.345982e-002
5.000000000000000e-001	5.000000e-001	3.344643e-002
6.000000000000000e-001	6.000000e-001	3.343303e-002
7.000000000000000e-001	7.000000e-001	3.341964e-002
8.000000000000000e-001	8.000000e-001	3.340624e-002
9.000000000000000e-001	9.000000e-001	3.339285e-002
1.000000000000000e+000	1.000000e+000	3.337945e-002
1.100000000000000e+000	1.100000e+000	3.336605e-002
1.200000000000000e+000	1.200000e+000	3.335265e-002
1.300000000000000e+000	1.300000e+000	3.333925e-002
1.400000000000000e+000	1.400000e+000	3.332585e-002
1.500000000000000e+000	1.500000e+000	3.331245e-002
1.600000000000000e+000	1.600000e+000	3.329904e-002
1.700000000000000e+000	1.700000e+000	3.328562e-002
