VLOAD,I(R1),V(illu)
1.6,0.041678987898258,1000
1.7,0.0416656700910858,1000
1.8,0.0416523402210205,1000
1.9,0.0416389918067681,1000
2,0.0416256148847032,1000
2.1,0.041612194137866,1000
2.2,0.0415987060197276,1000
2.3,0.041585114332676,1000
2.4,0.0415713634310928,1000
2.5,0.0415573677730583,1000
2.6,0.0415429958596116,1000
2.7,0.0415280455478624,1000
2.8,0.0415122061075412,1000
2.9,0.0414949999085732,1000
3,0.0414756928198026,1000
3.1,0.0414531565648439,1000
3.2,0.0414256573570886,1000
3.3,0.0413905315232093,1000
3.4,0.0413436881471521,1000
3.5,0.0412788475662627,1000
3.6,0.0411863779625627,1000
3.7,0.0410515238841347,1000
3.8,0.0408517228200527,1000
3.9,0.0405525728550846,1000
4,0.0401018485103415,1000
4.1,0.0394207921359602,1000
4.2,0.0383918281808557,1000
4.3,0.0368420840912243,1000
4.4,0.0345231035887239,1000
4.5,0.0310895878550785,1000
4.6,0.026084434330448,1000
4.625,0.0245233862553085,1000
4.65,0.0228194480108157,1000
4.675,0.0209626527499145,1000
4.7,0.0189428733829144,1000
4.725,0.016749907845655,1000
4.75,0.0143735738340052,1000
4.775,0.0118038113262103,1000
4.8,0.00903079069717005,1000
4.825,0.00604502377067595,1000
4.85,0.0028374747989024,1000
4.875,9.9999999999989E-05,1000
4.9,0.0001,1000
4.925,0.0001,1000
4.95,0.0001,1000
4.975,0.0001,1000
5,0.0001,1000
